"","school","student","sex","score1","score2"
"359","60441","241",0,46,59.2
"360","60441","284",1,33,82.4
"361","60441","290",1,46,79.6
"362","60441","292",1,53,79.6
"363","60441","293",1,51,70.3
"364","60441","294",1,40,78.7
"365","60441","297",1,21,58.3
"366","60441","326",1,33,74
"367","60441","330",0,44,53.7
"368","60441","344",0,41,NA
"369","60441","374",1,49,71.2
"370","60441","377",0,56,62
"371","60455","1003",1,44,84.2
"372","60455","1008",0,37,62
"373","60455","1009",0,20,48.1
"374","60455","1010",0,63,59.2
"375","60455","1011",1,53,93.5
"376","60455","1016",1,61,89.8
"377","60455","1017",1,62,93.5
"378","60455","1018",1,64,92.5
"379","60455","1020",1,39,75
"380","60455","1021",0,57,68.5
"381","60455","1022",1,60,94.4
"382","60455","1023",0,61,56.4
"383","60455","1027",1,53,94.4
"384","60455","1028",0,49,NA
"385","60455","1030",1,63,96.2
"386","60455","1035",1,33,57.4
"387","60455","1037",1,68,96.2
"388","60455","1047",0,41,57.4
"389","60455","1049",1,43,82.4
"390","60455","1052",1,55,NA
"391","60455","1053",0,65,NA
"392","60455","1055",0,56,85.1
"393","60455","1057",1,48,84.2
"394","60455","1060",1,69,87.9
"395","60455","1065",1,25,61.1
"396","60455","1074",1,52,89.8
"397","60455","1079",0,48,64.8
"398","60455","1080",0,NA,79.6
"399","60455","1081",1,45,95.3
"400","60455","1083",0,59,97.2
"401","60455","1091",1,48,95.3
"402","60455","1098",0,48,79.6
"403","60455","1108",0,60,86.1
"404","60455","1116",1,45,90.7
"405","60455","1125",0,57,NA
"406","60455","1130",1,53,87.9
"407","60455","1133",0,52,NA
"408","60455","1135",0,61,93.5
"409","60455","1137",1,40,79.6
"410","60455","1144",1,48,83.3
"411","60455","1145",0,43,71.2
"412","60455","1149",0,55,83.3
"413","60457","1",0,41,85.1
"414","60457","3",1,60,100
"415","60457","11",1,59,98.1
"416","60457","12",0,20,81.4
"417","60457","13",1,37,82.4
"418","60457","18",0,62,98.1
"419","60457","22",0,37,NA
"420","60457","27",0,71,72.2
"421","60457","31",1,37,90.7
"422","60457","33",0,NA,83.3
"423","60457","40",0,58,74
"424","60457","43",0,52,78.7
"425","60457","44",1,62,96.2
"426","60457","48",0,63,77.7
"427","60457","52",0,NA,94.4
"428","60457","56",0,71,95.3
"429","60457","62",1,53,89.8
"430","60457","65",0,43,90.7
"431","60457","70",0,60,95.3
"432","60457","71",1,48,93.5
"433","60457","76",1,58,92.5
"434","60457","77",1,NA,71.2
"435","60457","79",1,57,98.1
"436","60457","81",0,43,60.1
"437","60457","94",1,58,79.6
"438","60457","98",1,NA,99
"439","60457","99",0,66,NA
"440","60457","109",0,NA,77.7
"441","60457","110",1,53,95.3
"442","60457","120",0,53,91.6
"443","60457","121",0,50,59.2
"444","60457","130",1,48,97.2
"445","60457","132",0,52,81.4
"446","60457","134",1,51,98.1
"447","60457","142",1,69,99
"448","60457","143",1,40,90.7
"449","60457","146",0,NA,85.1
"450","60457","151",0,58,83.3
"451","60457","152",0,78,82.4
"452","60457","155",0,34,54.6
"453","60457","159",0,41,82.4
"454","60457","163",1,43,84.2
"455","60457","169",1,68,93.5
"456","60457","174",0,70,72.2
"457","60457","178",1,43,88.8
"458","60457","184",0,64,78.7
"459","60457","185",0,51,NA
"460","60457","198",0,56,76.8
"461","60457","210",0,70,84.2
"462","60457","221",1,50,98.1
"463","60457","222",0,41,87
"464","60457","224",0,62,77.7
"465","60457","231",1,46,96.2
"466","60457","234",0,NA,73.1
"467","60501","6",1,57,80.5
"468","60501","26",0,61,88.8
"469","60501","28",1,33,50
"470","60501","30",0,41,72.2
"471","60501","31",1,58,96.2
"472","60501","36",0,43,44.4
"473","60501","44",0,65,92.5
"474","60501","46",0,44,69.4
"475","60501","48",1,NA,67.5
"476","60501","51",0,48,91.6
"477","60501","52",1,60,96.2
"478","60501","54",1,56,61.1
"479","60501","58",1,51,92.5
"480","60501","59",1,35,62.9
"481","60501","66",1,36,87.9
"482","60501","67",0,60,87.9
"483","60501","78",1,48,66.6
"484","60501","92",1,44,NA
"485","60501","109",0,46,48.1
"486","60501","110",1,55,94.4
"487","60501","111",1,36,49
"488","60501","116",0,43,67.5
"489","60501","121",1,51,76.8
"490","60501","146",1,45,88.8
"491","60501","163",1,62,97.2
"492","60501","164",0,NA,83.3
"493","60729","263",0,52,NA
"494","60729","264",0,46,82.4
"495","60729","272",1,65,92.5
"496","60729","302",0,56,86.1
"497","60729","331",0,69,94.4
"498","60729","337",1,53,94.4
"499","60729","342",1,76,92.5
"500","60741","4006",1,41,84.2
"501","60741","4010",1,53,87.9
"502","60741","4012",1,61,75.9
"503","60741","4016",1,46,86.1
"504","60741","4028",1,39,64.8
"505","60741","4030",0,NA,56.4
"506","60741","4031",1,48,81.4
"507","60741","4040",1,NA,82.4
"508","60741","4042",1,50,86.1
"509","60741","4050",0,43,41.6
"510","60741","4056",1,38,80.5
"511","60741","4057",1,NA,69.4
"512","60741","4064",1,43,76.8
"513","60741","4066",1,25,51.8
"514","60741","4074",1,43,71.2
"515","60741","4085",1,48,77.7
"516","60741","4091",1,46,67.5
"517","60741","4097",0,39,54.6
"518","60741","4106",1,48,86.1
"519","60741","4116",1,44,72.2
"520","60741","4120",0,37,33.3
"521","60741","4122",0,50,77.7
"522","60741","4124",1,36,79.6
"523","60741","4148",0,NA,76.8
"524","60741","4151",1,44,81.4
"525","60741","4154",0,62,76.8
"526","63619","4",0,61,73.1
"527","63619","55",0,59,74
"528","63619","59",0,48,71.2
"529","63619","77",1,40,54.6
"530","63833","9",0,41,NA
"531","63833","5012",0,41,65.7
"532","63833","5023",0,36,57.4
"533","63833","5047",1,59,79.6
"534","63833","5079",0,50,65.7
"535","63833","5083",0,61,71.2
"536","63833","5092",1,71,83.3
"537","63833","5112",1,64,75.9
"538","63833","5140",0,57,71.2
"539","63833","5196",0,36,65.7
"540","63833","5209",0,NA,72.2
"541","63833","5212",0,45,67.5
"542","64251","1007",1,65,97.2
"543","64251","1009",1,50,91.6
"544","64251","1019",0,65,81.4
"545","64251","1020",1,59,NA
"546","64251","1022",0,62,76.8
"547","64251","1030",0,43,NA
"548","64251","1031",0,53,71.2
"549","64251","1098",0,NA,69.4
"550","64251","1104",0,NA,74
"551","64251","1107",1,40,NA
"552","64251","1120",0,44,87
"553","64251","1122",1,57,90.7
"554","64251","1126",1,61,85.1
"555","64251","1131",1,NA,94.4
"556","64251","1132",1,61,87
"557","64251","1133",1,44,88.8
"558","64251","1136",1,NA,93.5
"559","64251","1144",0,NA,82.4
"560","64251","1150",1,76,92.5
"561","64251","1151",1,71,93.5
"562","64251","1162",0,61,81.4
"563","64251","1175",0,44,88.8
"564","64251","1179",1,63,NA
"565","64251","1184",1,56,86.1
"566","64251","1191",1,55,76.8
"567","64251","1196",0,46,87
"568","64251","1198",1,53,86.1
"569","64251","1204",1,51,97.2
"570","64251","1208",1,65,93.5
"571","64251","1226",1,49,87
"572","64251","1239",1,37,95.3
"573","64251","1246",0,59,80.5
"574","64251","1263",0,55,88.8
"575","64251","1266",1,60,83.3
"576","64251","1272",1,46,92.5
"577","64251","1296",1,50,NA
"578","64321","5001",0,46,61.1
"579","64321","5004",1,74,92.5
"580","64321","5007",1,44,52.7
"581","64321","5014",1,58,NA
"582","64321","5021",1,48,70.3
"583","64321","5024",1,52,82.4
"584","64321","5025",1,60,70.3
"585","64321","5031",0,51,32.4
"586","64321","5041",1,65,70.3
"587","64321","5044",1,53,76.8
"588","64321","5046",1,NA,73.1
"589","64321","5051",0,70,75
"590","64321","5053",1,53,86.1
"591","64321","5056",0,55,61.1
"592","64321","5057",0,33,NA
"593","64321","5064",1,28,NA
"594","64321","5065",1,NA,72.2
"595","64321","5069",0,45,NA
"596","64321","5080",0,60,78.7
"597","64321","5084",1,60,57.4
"598","64321","5086",1,50,47.2
"599","64321","5089",1,53,NA
"600","64321","5092",0,41,37
"601","64321","5094",0,45,37.9
"602","64321","5097",0,61,62
"603","64321","5100",0,57,62
"604","64321","5102",1,65,86.1
"605","64321","5107",1,49,42.5
"606","64321","5110",0,49,54.6
"607","64321","5122",0,53,49
"608","64321","5124",1,NA,68.5
"609","64321","5132",1,46,51.8
"610","64321","5149",1,NA,50.9
"611","64321","5155",1,46,NA
"612","64321","5163",0,60,40.7
"613","64321","5167",1,78,81.4
"614","64327","5",0,33,NA
"615","64327","10",0,39,65.7
"616","64327","11",0,36,74
"617","64327","19",1,11,87
"618","64327","27",1,40,90.7
"619","64327","40",0,44,75.9
"620","64327","41",1,45,85.1
"621","64327","48",0,53,78.7
"622","64327","49",0,35,66.6
"623","64327","56",0,55,70.3
"624","64327","57",0,46,78.7
"625","64327","59",1,52,83.3
"626","64327","63",1,45,79.6
"627","64327","76",0,37,74
"628","64327","77",1,61,84.2
"629","64327","78",1,46,87
"630","64327","84",0,NA,90.7
"631","64327","89",0,48,74
"632","64327","90",0,55,82.4
"633","64327","93",0,41,80.5
"634","64327","118",1,48,93.5
"635","64327","125",0,30,64.8
"636","64327","126",0,41,68.5
"637","64327","134",1,53,93.5
"638","64327","137",1,41,83.3
"639","64327","147",1,NA,75.9
"640","64327","149",0,55,75
"641","64327","158",0,53,83.3
"642","64327","163",0,40,69.4
"643","64327","176",0,NA,65.7
"644","64327","177",0,53,89.8
"645","64327","181",1,44,80.5
"646","64343","2",0,38,78.7
"647","64343","17",1,78,98.1
"648","64343","24",1,62,100
"649","64343","30",1,50,90.7
"650","64343","36",1,55,80.5
"651","64343","37",0,34,9.25
"652","64343","42",0,73,82.4
"653","64343","51",1,40,87.9
"654","64343","52",1,41,99
"655","64343","53",0,60,16.6
"656","64343","55",1,39,94.4
"657","64343","60",1,55,96.2
"658","64343","61",0,NA,40.7
"659","64343","62",1,36,NA
"660","64343","63",0,NA,40.7
"661","64343","65",1,63,100
"662","64343","70",1,59,79.6
"663","64343","76",1,60,90.7
"664","64343","79",1,31,89.8
"665","64343","85",1,45,98.1
"666","64343","86",1,55,91.6
"667","64343","87",1,61,98.1
"668","64343","88",0,58,54.6
"669","64343","100",1,68,100
"670","64343","107",0,43,96.2
"671","64343","109",1,NA,90.7
"672","64343","112",1,30,25.9
"673","64343","113",0,63,84.2
"674","64343","121",0,71,80.5
"675","64343","122",1,36,100
"676","64343","124",0,37,57.4
"677","64343","133",1,41,98.1
"678","64343","135",1,36,NA
"679","64343","138",0,59,46.2
"680","64343","145",0,38,48.1
"681","64343","149",1,46,NA
"682","64343","192",1,51,85.1
"683","64343","197",1,56,95.3
"684","64359","160",0,NA,86.1
"685","64359","238",0,70,96.2
"686","64359","259",0,74,87
"687","64359","262",0,45,77.7
"688","64359","310",1,45,78.7
"689","64359","412",1,34,58.3
"690","64359","417",1,43,NA
"691","64359","423",1,60,NA
"692","64359","596",0,70,87.9
"693","64359","637",0,70,90.7
"694","64359","699",1,55,75.9
"695","64359","720",1,53,87
"696","64359","734",1,53,78.7
"697","64359","735",1,NA,57.4
"698","64359","757",1,63,89.8
"699","64359","794",1,56,80.5
"700","64428","91",1,36,93.5
"701","64428","119",1,50,62.9
"702","64428","158",0,83,NA
"703","64428","1290",0,46,62.9
"704","64428","1291",0,55,50.9
"705","65385","41",1,60,91.6
"706","65385","129",0,53,90.7
"707","65385","151",0,51,76.8
"708","65385","195",0,57,85.1
"709","66365","46",0,44,62.9
"710","66365","109",1,53,97.2
"711","66365","116",1,26,73.1
"712","66365","134",1,57,86.1
"713","66365","136",1,32,NA
"714","66365","138",1,43,85.1
"715","67051","16",0,36,37
"716","67051","50",1,45,87
"717","67051","60",1,45,78.7
"718","67051","81",1,20,50.9
"719","67051","89",0,43,40.7
"720","67051","115",1,45,89.8
"721","67051","159",0,35,69.4
"722","67051","175",0,46,67.5
"723","67051","208",1,NA,74
"724","67105","14",1,45,25.9
"725","67105","27",1,NA,63.8
"726","67105","30",1,43,NA
"727","67105","34",1,74,55.5
"728","67105","40",1,58,68.5
"729","67105","60",1,62,18.5
"730","67105","68",0,78,77.7
"731","67105","72",1,53,52.7
"732","67105","96",1,71,66.6
"733","67105","97",1,NA,72.2
"734","67105","99",1,46,59.2
"735","67105","103",1,50,59.2
"736","67105","109",0,68,NA
"737","67105","113",1,NA,39.8
"738","67105","116",1,53,61.1
"739","67105","120",0,NA,57.4
"740","67105","128",1,79,75.9
"741","67105","131",1,45,82.4
"742","67105","132",1,65,55.5
"743","67105","146",1,53,48.1
"744","67105","147",0,55,85.1
"745","67105","155",1,64,38.8
"746","67105","156",0,67,57.4
"747","67105","160",0,60,74
"748","67105","192",1,55,60.1
"749","67105","193",1,60,86.1
"750","67105","196",0,57,74
"751","67105","201",1,58,83.3
"752","67105","207",1,62,57.4
"753","67105","208",0,66,79.6
"754","67105","209",1,57,72.2
"755","67311","6",1,34,81.4
"756","67311","17",0,61,78.7
"757","67311","18",1,NA,86.1
"758","67311","36",0,55,74
"759","67311","44",1,NA,88.8
"760","67311","50",1,65,92.5
"761","67311","70",0,39,92.5
"762","67311","83",1,NA,73.1
"763","67311","87",1,38,87.9
"764","67311","130",1,36,90.7
"765","67311","141",1,59,91.6
"766","67311","144",0,58,93.5
"767","68107","5",1,53,90.7
"768","68107","12",1,53,97.2
"769","68107","18",1,52,87.9
"770","68107","22",1,51,88.8
"771","68107","25",1,49,84.2
"772","68107","26",1,78,93.5
"773","68107","28",1,45,71.2
"774","68107","37",0,68,87.9
"775","68107","45",1,67,83.3
"776","68107","48",0,49,NA
"777","68107","60",1,NA,77.7
"778","68107","65",0,41,61.1
"779","68107","66",1,22,64.8
"780","68107","70",1,49,70.3
"781","68107","73",1,55,78.7
"782","68107","74",0,NA,86.1
"783","68107","77",1,30,75
"784","68107","78",0,65,78.7
"785","68107","80",1,43,80.5
"786","68107","83",0,51,81.4
"787","68107","87",0,44,64.8
"788","68107","90",1,41,NA
"789","68107","92",1,28,86.1
"790","68107","96",1,38,79.6
"791","68107","98",1,39,NA
"792","68107","99",0,73,92.5
"793","68107","101",1,62,91.6
"794","68107","110",1,55,83.3
"795","68107","118",0,46,82.4
"796","68107","123",1,NA,84.2
"797","68107","126",1,46,83.3
"798","68107","128",1,49,74
"799","68107","132",1,NA,64.8
"800","68107","133",1,36,67.5
"801","68107","138",1,55,86.1
"802","68107","139",1,36,NA
"803","68107","140",1,NA,75.9
"804","68107","141",0,NA,62.9
"805","68107","144",1,16,63.8
"806","68107","146",1,35,68.5
"807","68107","147",1,25,NA
"808","68107","148",1,23,47.2
"809","68107","153",1,34,68.5
"810","68107","156",1,34,68.5
"811","68107","160",1,65,86.1
"812","68107","163",1,41,69.4
"813","68107","165",1,51,NA
"814","68107","167",1,50,NA
"815","68107","168",0,41,66.6
"816","68107","171",1,32,65.7
"817","68107","172",0,60,77.7
"818","68107","174",0,43,69.4
"819","68107","175",1,NA,85.1
"820","68107","178",0,NA,69.4
"821","68107","179",1,44,91.6
"822","68107","180",0,57,78.7
"823","68107","183",0,NA,53.7
"824","68107","184",0,49,65.7
"825","68107","185",1,51,70.3
"826","68107","186",1,43,NA
"827","68107","187",0,45,74
"828","68107","188",0,46,61.1
"829","68107","190",0,NA,75.9
"830","68107","191",1,37,62
"831","68107","193",1,NA,62
"832","68107","197",1,32,69.4
"833","68107","201",1,28,67.5
"834","68107","204",0,44,NA
"835","68107","205",0,28,55.5
"836","68107","206",1,43,62
"837","68107","209",0,48,80.5
"838","68107","210",0,39,67.5
"839","68107","211",1,18,64.8
"840","68107","212",0,59,69.4
"841","68107","216",1,38,NA
"842","68107","217",1,NA,60.1
"843","68107","219",0,33,74
"844","68107","220",0,30,50
"845","68107","221",0,NA,79.6
"846","68111","7",1,53,80.5
"847","68111","8",1,48,76.8
"848","68111","9",1,33,76.8
"849","68111","11",1,NA,83.3
"850","68111","21",1,NA,87.9
"851","68111","22",0,58,75
"852","68111","24",0,39,NA
"853","68111","25",0,45,NA
"854","68111","33",1,NA,66.6
"855","68111","34",1,45,86.1
"856","68111","38",1,44,82.4
"857","68111","43",1,38,77.7
"858","68111","46",1,60,94.4
"859","68111","49",1,56,75.9
"860","68111","56",1,55,73.1
"861","68111","57",1,60,82.4
"862","68111","69",1,46,79.6
"863","68111","70",0,50,74
"864","68111","76",1,40,61.1
"865","68111","82",1,NA,86.1
"866","68111","84",0,41,69.4
"867","68111","85",0,39,59.2
"868","68111","88",0,53,82.4
"869","68111","92",0,41,71.2
"870","68111","95",1,58,85.1
"871","68111","99",0,53,63.8
