LFQ intensity delta10G-1-3h	LFQ intensity delta10G-2-3h	LFQ intensity delta10G-3-3h	LFQ intensity wt-1-3h	LFQ intensity wt-2-3h	LFQ intensity wt-3-3h	Protein names	Gene names
33.05103	32.93901	32.66437	32.7063	32.59101	33.06822	Glycine dehydrogenase (decarboxylating)	gcvP
34.247	34.35554	34.40458	34.4469	34.28994	34.51888	NADP-dependent malic enzyme	maeB
37.19408	37.12405	37.04618	36.89329	36.90264	36.9643	Elongation factor G	fusA
35.2231	35.07336	35.19821	35.073	34.82122	34.99522	Chaperone protein HtpG	htpG
33.43403	33.34916	33.46696	33.24799	33.33738	33.32777	DNA gyrase subunit B	gyrB
34.01754	33.84969	33.98193	33.51876	33.74755	33.86425	Aspartate--tRNA ligase	aspS
33.32281	33.22446	33.37075	33.08858	33.13872	33.22403	Maltodextrin phosphorylase	malP
33.08667	33.31446	33.43116	33.42104	33.33977	33.30783	Aminopeptidase N	pepN
33.9489	33.71804	33.64978	33.71416	33.8683	34.07822	NADH-quinone oxidoreductase subunit G	nuoG
33.55385	33.69405	34.02052	33.88295	34.0103	33.9357	Malate synthase A	aceB
37.3665	37.48389	37.57289	37.38977	37.64917	37.52028	60 kDa chaperonin	groL
34.24594	34.53189	34.55431	34.53398	34.6127	34.71962	Threonine--tRNA ligase	thrS
32.60651	32.76327	32.71853	32.75842	32.80053	32.99688	RNA polymerase-associated protein RapA	rapA
30.67017	30.7052	30.78978	30.68829	30.53844	30.90132	UvrABC system protein A	uvrA
37.48201	37.2967	37.59328	37.73075	37.69838	37.69773	Tryptophanase	tnaA
31.55719	31.51136	31.40192	31.44312	31.18104	31.718	Probable pyruvate-flavodoxin oxidoreductase	ydbK
36.48526	36.53192	36.57824	36.56368	36.56865	36.51035	Trigger factor	tig
34.29001	34.07782	34.06527	33.71067	33.8549	34.09435	Outer membrane protein assembly factor BamA	bamA
33.6927	33.87344	33.96851	33.70068	33.82411	34.03281	ATP-dependent zinc metalloprotease FtsH	ftsH
35.10984	35.04787	35.13327	35.02218	35.03289	34.99129	Succinate dehydrogenase flavoprotein subunit	sdhA
31.84502	32.11966	32.35098	32.0667	32.21555	32.08297	Aconitate hydratase A	acnA
33.25814	33.54167	33.47834	33.30769	33.52367	33.51077	NADH-quinone oxidoreductase subunit C/D	nuoC
33.52927	33.71845	33.78614	33.91919	33.95029	34.20682	Glutamine--tRNA ligase	glnS
34.1891	34.50782	34.29097	34.32717	34.29482	34.44788	Lon protease	lon
33.08477	33.14721	33.27614	33.21885	33.19876	33.41777	Protein YhgF	yhgF
32.41344	32.86105	32.55671	32.39752	32.74907	32.87514	DNA polymerase I	polA
33.28485	33.39433	33.79527	33.53867	33.76545	33.89374	Catalase-peroxidase	katG
32.44172	32.76797	32.83818	32.51143	32.54142	32.72915	LPS-assembly protein LptD	lptD
33.04905	32.8884	33.23991	33.76929	33.65757	33.60012	Malate synthase G	glcB
36.11576	36.05531	36.23042	36.06794	36.08603	36.22015	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	aceF
30.45758	30.9194	30.61202	30.80632	30.8993	30.94705	Methionine synthase	metH
35.39058	35.17076	35.32359	34.9659	34.96813	34.91117	Phosphoenolpyruvate carboxykinase [ATP]	pckA
34.57238	34.59868	34.45617	34.38052	34.39222	34.60173	Phosphoenolpyruvate synthase	ppsA
34.14945	34.15096	34.31925	35.04119	35.2387	35.08765	Periplasmic oligopeptide-binding protein	oppA
34.59502	34.49345	34.85225	34.54593	34.45745	34.63385	"Lysine--tRNA ligase, heat inducible"	lysU
38.47112	38.57077	38.49436	38.49213	38.64367	38.57764	Elongation factor Tu 1	tufA
34.64849	34.63477	34.36045	33.94933	33.97177	34.09294	Aerobic glycerol-3-phosphate dehydrogenase	glpD
33.5939	33.9393	34.08559	33.82667	34.03674	33.9134	Ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA
33.87829	33.86683	33.83149	33.90831	33.89835	33.73912	Methionine--tRNA ligase	metG
33.86221	34.00404	33.97434	33.89365	33.77843	33.76624	Lysine--tRNA ligase	lysS
31.75342	31.92698	31.98953	31.66619	31.56547	31.95473	D-lactate dehydrogenase	dld
30.32582	30.23763	30.21083	29.99968	29.91271	30.38669	Polyphosphate kinase	ppk
34.69088	34.9445	35.00362	34.94916	35.0627	34.99184	Energy-dependent translational throttle protein EttA	ettA
34.60918	34.65427	34.60554	34.71779	34.67966	34.66781	"Fumarate hydratase class I, aerobic"	fumA
32.81174	33.11931	32.94222	32.69285	33.06681	33.46368	Arginine--tRNA ligase	argS
30.76406	30.14601	30.83658	29.1481	28.7016	28.34892	Periplasmic nitrate reductase	napA
34.97468	35.05156	34.80492	34.69468	34.80991	34.93535	Polyribonucleotide nucleotidyltransferase	pnp
32.65168	33.0117	32.92467	32.66061	32.72336	32.66221	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA
29.106	29.0391	29.06252	29.75467	30.05698	29.98753	Sulfite reductase [NADPH] hemoprotein beta-component	cysI
30.29527	30.54977	30.52813	30.43361	30.52934	30.28394	Catalase HPII	katE
31.71129	31.89627	31.69495	31.63422	31.76679	31.73146	Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase	thrA
31.90738	31.9564	32.06766	31.92567	31.91574	32.20131	"2,3-cyclic-nucleotide 2-phosphodiesterase/3-nucleotidase"	cpdB
28.8384	29.10983	28.78288	28.7938	29.00043	29.12955	DNA polymerase III subunit alpha	dnaE
28.61059	28.47904	29.21639	28.88658	29.21373	29.22184	Probable zinc protease PqqL	pqqL
28.9758	28.90087	28.95961	28.80409	28.93193	28.63765	Translocation and assembly module TamB	tamB
29.78633	29.82438	29.8341	29.54911	29.30926	29.2985	PFL-like enzyme TdcE	tdcE
29.32678	29.28802	29.25872	29.7161	29.77662	29.7962	Uncharacterized protein YdiJ	ydiJ
35.43431	35.63504	35.59452	35.46979	35.59457	35.56763	"6-phosphogluconate dehydrogenase, decarboxylating"	gnd
34.39017	34.36874	34.2511	34.18601	34.1004	34.11023	ATP-dependent protease ATPase subunit HslU	hslU
30.71038	31.0747	31.01724	30.51972	30.99456	31.43316	Antigen 43;Antigen 43 alpha chain;Antigen 43 beta chain	flu
32.65091	32.7354	33.03279	32.45364	32.39826	32.5446	Fumarate reductase flavoprotein subunit	frdA
34.42286	34.39247	34.35383	34.36352	34.29803	34.42643	GMP synthase [glutamine-hydrolyzing]	guaA
36.21207	36.10077	36.22288	36.30584	36.25018	36.35235	Isocitrate dehydrogenase [NADP]	icd
35.51586	35.78782	35.67517	35.64568	35.60142	35.64192	Glycerol kinase	glpK
31.87207	31.68992	31.82866	31.83232	31.99415	32.24624	Glycerol-3-phosphate acyltransferase	plsB
37.07288	37.07068	37.23435	37.28235	37.22162	37.35514	Glyceraldehyde-3-phosphate dehydrogenase A	gapA
34.27607	34.42611	34.36691	34.45292	34.27364	34.2573	Phosphate acetyltransferase	pta
34.66702	34.39898	34.37172	34.5743	34.24041	34.12971	Proline--tRNA ligase	proS
33.28071	33.27781	33.29885	32.90614	33.05404	33.09283	Oligopeptidase A	prlC
33.64999	33.98778	33.73277	33.68008	33.71876	33.93974	GTP-binding protein TypA/BipA	typA
34.38645	34.37133	34.43303	34.43955	34.49244	34.44949	Glucose-6-phosphate isomerase	pgi
31.3248	31.59606	31.79421	32.4631	32.67147	32.99039	Fe(3+) dicitrate transport protein FecA	fecA
29.80116	30.1188	30.23249	29.82504	29.99739	29.90469	Bifunctional uridylyltransferase/uridylyl-removing enzyme;[Protein-PII] uridylyltransferase;[Protein-PII]-UMP uridylyl-removing enzyme	glnD
31.31743	31.61658	31.52524	31.43539	31.58244	31.55901	Periplasmic beta-glucosidase	bglX
29.7829	29.94056	30.1121	30.3952	29.9279	30.02314	Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase	metL
30.36661	30.40983	30.56302	30.53083	30.65472	30.55316	HTH-type transcriptional regulator MalT	malT
30.03774	29.74508	30.04986	29.77541	30.14528	30.13173	Uncharacterized protein YeaG	yeaG
33.17428	33.25434	33.36019	33.06256	33.14949	33.16763	Peptidyl-prolyl cis-trans isomerase D	ppiD
30.67834	30.69727	30.82252	30.76485	30.92917	31.00477	Helicase IV	helD
31.33095	31.31506	30.92231	30.64547	31.05058	31.0542	DNA mismatch repair protein MutS	mutS
33.88994	33.78439	33.9469	33.99286	33.96706	33.92575	Lactaldehyde dehydrogenase	aldA
36.93858	37.10085	37.06477	36.99075	36.97117	37.17255	Elongation factor Ts	tsf
34.02952	34.2372	34.20347	34.19344	34.30457	34.3802	Transcription termination/antitermination protein NusA	nusA
29.60705	29.03247	29.30417	29.40706	30.07966	30.45278	Colicin I receptor	cirA
35.27787	35.40797	35.26287	35.33115	35.38439	35.32483	Transketolase 1	tktA
30.19496	30.22527	30.34	29.90828	29.90297	29.91969	Anaerobic ribonucleoside-triphosphate reductase	nrdD
33.98295	34.09333	33.94812	33.89717	33.93491	34.0982	Glutamate--tRNA ligase	gltX
34.35449	34.50994	34.46678	34.36228	34.45341	34.48087	Phosphoenolpyruvate-protein phosphotransferase	ptsI
29.25651	29.0457	29.18655	29.07209	29.03871	28.24672	ATP-dependent DNA helicase Rep	rep
36.02531	35.75075	35.85675	35.72946	35.86066	35.80391	Phosphoglycerate kinase	pgk
34.69005	34.64774	34.8253	34.99315	34.84319	34.83267	CTP synthase	pyrG
35.93678	35.59059	35.9169	35.72784	35.88292	35.76833	Glutamine synthetase	glnA
35.07451	34.65181	34.66061	34.66644	34.6597	34.81149	Isocitrate lyase	aceA
36.01187	35.75653	35.87777	35.6768	35.49614	35.40156	Dihydrolipoyl dehydrogenase	lpdA
34.99736	35.23738	35.31244	35.26042	35.35021	35.40559	Pyruvate kinase I	pykF
32.92187	32.80973	32.93053	32.94106	32.98148	32.89726	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	miaB
30.54637	29.4554	30.24581	24.13962	21.67973	23.23509	Respiratory nitrate reductase 1 beta chain	narH
30.37067	30.25687	30.32785	30.06792	30.35153	30.47421	Selenocysteine-specific elongation factor	selB
30.90469	31.07584	31.14801	30.97774	30.86938	30.98902	DNA ligase	ligA
33.66501	33.93157	33.88722	33.99286	33.84521	34.13346	Alkyl hydroperoxide reductase subunit F	ahpF
36.54136	36.87978	36.78329	36.83411	36.8449	36.89521	50S ribosomal protein L2	rplB
31.95975	32.19891	32.1963	32.1698	32.10865	32.03154	Protein YdgA	ydgA
29.25678	29.45591	29.42778	29.37177	29.43921	29.43762	Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase	mrcA
32.1639	32.17659	32.501	32.12909	32.15948	32.39558	Ferrichrome-iron receptor	fhuA
31.18736	31.22188	31.19261	31.26013	31.03558	31.35348	Thymidine phosphorylase	deoA
31.6465	31.6971	31.64022	31.31062	31.40659	31.47706	Type I restriction enzyme EcoKI M protein	hsdM
34.42022	34.36698	34.37367	34.20237	34.32924	34.50835	Adenylosuccinate synthetase	purA
33.99968	34.04531	34.01986	33.83893	33.75285	33.58878	Serine--tRNA ligase	serS
37.44517	37.46288	37.56063	37.79671	37.74416	37.53789	Outer membrane protein A	ompA
29.31378	29.42714	29.8286	29.58678	29.48773	29.24268	Glycogen phosphorylase	glgP
30.6241	30.56865	30.83816	30.73004	30.66408	30.76089	GTP pyrophosphokinase	relA
29.53764	29.80051	29.80804	29.82733	29.91812	29.97651	Soluble lytic murein transglycosylase	slt
33.14991	33.2814	33.52822	33.65544	33.55453	33.60918	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	glmS
29.95477	30.01119	30.17617	30.23466	30.14151	30.4182	Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase	fadB
34.09152	34.30857	34.25863	34.2007	34.36359	34.46739	Trehalose-6-phosphate hydrolase	treC
27.70398	27.77096	27.20228	27.52619	27.11028	27.59099	Uncharacterized protein YhdP	yhdP
29.64686	29.9057	29.95296	29.82372	29.87564	29.81693	Mechanosensitive channel MscK	mscK
29.12724	29.27068	29.39174	29.42318	29.33215	29.24102	Acyl-coenzyme A dehydrogenase	fadE
29.70349	29.71602	29.70301	29.59554	29.7625	30.08043	DNA helicase II	uvrD
37.45807	37.56787	37.69534	37.55528	37.54769	37.48584	Outer membrane protein C	ompC
32.10437	31.99722	31.99419	31.97521	31.88078	32.18124	GTPase Der	der
36.53686	36.36228	36.23099	36.42395	36.45447	36.625	Enolase	eno
31.14017	30.99631	31.33809	30.9804	31.1508	31.44253	Uronate isomerase	uxaC
31.65817	31.89298	32.02221	31.92514	31.98895	32.1298	Bifunctional purine biosynthesis protein PurH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase	purH
31.54042	31.77124	31.85653	31.52878	31.73489	31.80394	Tail-specific protease	prc
31.49639	31.60722	31.24836	32.16636	31.9761	31.99216	Acetyl-coenzyme A synthetase	acs
31.79985	32.14634	32.02399	31.82756	31.99149	32.15155	Multidrug efflux pump subunit AcrB	acrB
33.30959	33.28637	33.27044	32.97362	33.08567	33.18439	Phosphoglucomutase	pgm
34.47533	34.57486	34.32194	34.36874	34.48903	34.49459	Aspartate aminotransferase	aspC
31.23529	31.15219	30.99806	30.984	31.19888	31.39754	Protein UshA;UDP-sugar hydrolase;5-nucleotidase	ushA
29.84908	29.90498	30.0822	29.97021	29.84348	29.91399	"1,4-alpha-glucan branching enzyme GlgB"	glgB
34.24955	34.38696	34.33091	34.33352	34.28775	34.41595	Asparagine--tRNA ligase	asnS
33.7119	33.93903	33.91616	33.61971	33.61807	33.92548	Cell division protein FtsZ	ftsZ
30.81176	30.86172	31.02868	30.38618	30.5312	30.78722	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA
33.14096	33.2742	33.25152	33.06814	33.2419	33.11475	Glucose-6-phosphate 1-dehydrogenase;Extracellular death factor	zwf
35.27121	35.17905	35.48457	35.07288	35.17801	35.37791	D-galactose-binding periplasmic protein	mglB
29.47203	29.78475	29.76053	29.77304	29.66986	29.80159	"Bifunctional (p)ppGpp synthase/hydrolase SpoT;GTP pyrophosphokinase;Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase"	spoT
31.48308	31.38623	31.28598	31.38494	31.27941	31.63699	Peptidyl-dipeptidase dcp	dcp
32.97509	33.06665	33.25491	32.88571	32.93225	33.09864	NADH-quinone oxidoreductase subunit F	nuoF
30.77502	30.98556	30.98868	30.91706	31.06709	31.16806	Ribosomal RNA large subunit methyltransferase K/L;23S rRNA m2G2445 methyltransferase;23S rRNA m7G2069 methyltransferase	rlmL
29.19263	29.36782	29.33398	29.19957	29.41371	29.29384	Protease 3	ptrA
29.10532	29.37252	29.39705	29.13761	29.0858	29.71231	DNA polymerase III subunit tau	dnaX
35.87168	35.87795	35.8856	35.7858	35.91726	35.95357	DNA-directed RNA polymerase subunit alpha	rpoA
32.66814	33.081	33.00596	32.85796	32.9149	32.7942	ATP-dependent RNA helicase DeaD	deaD
31.52276	31.52337	31.63435	31.65527	31.64521	31.50725	Galactose/methyl galactoside import ATP-binding protein MglA	mglA
34.73029	34.92976	34.88053	34.78663	34.8338	34.88876	Transcription termination factor Rho	rho
29.57822	29.96761	29.80227	29.84588	29.7747	29.90742	Quinoprotein glucose dehydrogenase	gcd
32.96392	33.06562	32.98717	33.16409	32.99741	32.70298	Biosynthetic arginine decarboxylase	speA
33.22288	33.37127	33.38766	33.05779	33.09652	33.33817	Peptidase B	pepB
33.06939	33.33525	33.11219	33.30824	33.21599	33.25982	"dTDP-glucose 4,6-dehydratase 1"	rfbB
29.70407	29.86192	30.05982	29.66463	29.82554	29.65183	DNA translocase FtsK	ftsK
29.82502	29.75843	30.19906	29.84688	29.89413	30.14613	Glutamate synthase [NADPH] small chain	gltD
32.37741	32.59606	32.3792	32.46614	32.42347	32.59341	Dihydroorotate dehydrogenase (quinone)	pyrD
36.36289	36.23387	36.12659	35.97055	36.17872	36.05954	30S ribosomal protein S3	rpsC
29.38669	29.44047	29.52212	29.07651	29.00236	29.24862	Aerobic respiration control sensor protein ArcB	arcB
35.27538	35.23246	35.37403	35.21925	35.33128	35.15266	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	sucB
32.85866	33.01629	32.88447	32.61039	32.65532	32.75579	Protein translocase subunit SecD	secD
23.51905	20.43969	23.92723	22.0233	22.83526	22.27028	Respiratory nitrate reductase 2 alpha chain	narZ
29.642	29.57223	29.3244	29.65862	29.71624	29.89721	Phosphoenolpyruvate-protein phosphotransferase PtsP	ptsP
30.16087	30.39141	30.29121	30.29789	30.37555	30.56302	ABC transporter ATP-binding protein uup	uup
31.89573	32.27439	32.29132	32.41344	32.43333	32.49264	NADH dehydrogenase	ndh
30.30519	30.75454	30.8646	30.92585	30.81291	31.02591	Esterase FrsA	frsA
29.22573	29.28831	29.14974	29.15337	29.25059	29.34995	Ketol-acid reductoisomerase	ilvC
31.43231	31.82688	31.59018	31.64457	31.89609	31.94991	Vitamin B12 transporter BtuB	btuB
29.53733	29.88983	29.78268	29.69227	30.05956	30.17605	UvrABC system protein B	uvrB
35.93844	36.03838	36.27496	36.3931	36.36655	36.44202	ATP synthase subunit alpha	atpA
31.0717	31.04231	31.19683	30.68295	30.83515	31.00196	Poly(A) polymerase I	pcnB
35.42041	35.35911	35.55534	35.0617	35.14759	35.18253	Aspartate ammonia-lyase	aspA
34.30837	34.53878	34.60355	34.58447	34.68734	34.8288	Maltose-binding periplasmic protein	malE
30.95622	31.11632	31.16884	31.13504	31.30807	31.0993	DNA topoisomerase 4 subunit B	parE
34.40781	34.56814	34.41671	34.28754	34.38561	34.34698	Soluble pyridine nucleotide transhydrogenase	sthA
32.7768	32.95903	32.87535	32.8852	32.87377	33.0871	Exoribonuclease 2	rnb
32.74523	32.99587	32.7045	33.09889	33.12127	33.18872	Elongation factor 4	lepA
30.52589	30.61474	30.59388	30.82851	30.78121	30.86112	Uncharacterized ABC transporter ATP-binding protein YheS	yheS
30.12362	30.36776	30.27353	30.16938	30.27908	30.30585	Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase	mrcB
30.66357	30.73093	30.68161	30.85081	30.76888	30.93642	Ribose import ATP-binding protein RbsA	rbsA
33.50533	34.08385	33.69468	33.62593	33.74575	33.81306	Glycerophosphoryl diester phosphodiesterase	glpQ
33.00479	33.21502	33.42505	33.24983	33.17531	33.26682	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX
35.57091	35.79679	35.67822	35.70435	35.69621	35.82048	Succinyl-CoA ligase [ADP-forming] subunit beta	sucC
35.85209	35.92475	36.07405	36.18468	36.36066	36.41125	Transaldolase B	talB
31.65224	31.54425	31.61535	31.51376	31.69992	31.69071	Uncharacterized ABC transporter ATP-binding protein YbiT	ybiT
36.17864	35.95695	35.75906	35.83966	35.70484	35.97308	ATP synthase subunit beta	atpD
35.20918	34.94026	34.77877	35.0369	34.83003	34.9489	Citrate synthase	gltA
34.28554	34.19425	34.03682	34.08757	34.34222	34.36437	Inosine-5-monophosphate dehydrogenase	guaB
29.5823	29.40284	29.35431	29.19491	29.28397	29.68756	Exopolyphosphatase	ppx
27.66296	27.67094	28.05502	26.72871	27.47166	27.95859	"Fumarate hydratase class I, anaerobic"	fumB
32.91705	32.77337	32.73291	32.63051	33.12562	32.85294	Cysteine--tRNA ligase	cysS
30.89735	31.07054	30.5139	30.6416	30.64039	30.71252	CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA
30.06137	30.38237	30.36494	31.20624	31.30018	31.51008	Periplasmic dipeptide transport protein	dppA
34.25638	34.48783	34.5783	34.37399	34.2127	34.58066	Biotin carboxylase	accC
33.21066	33.29584	33.3216	33.15753	33.04274	33.12189	NAD-dependent malic enzyme	maeA
33.45145	33.81144	33.43961	33.41425	33.46466	33.51782	Phosphoglucosamine mutase	glmM
30.43996	30.62888	30.57894	30.53213	30.76525	30.90469	Glucans biosynthesis glucosyltransferase H	mdoH
31.70915	31.64564	31.71821	31.21997	31.00671	31.01299	Glutamate decarboxylase beta	gadB
28.71738	28.89478	28.94112	29.60724	29.89572	29.88059	Catecholate siderophore receptor Fiu	fiu
34.40426	34.50675	34.32985	34.17667	34.18098	34.09687	Cysteine desulfurase IscS	iscS
31.08125	31.32077	31.51216	31.19765	31.16938	31.55614	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	mnmG
32.2945	32.28057	32.47327	32.36411	32.31746	32.41891	Chaperone protein HscA	hscA
34.47133	34.66151	34.63092	34.48424	34.75965	34.67314	ATP synthase gamma chain	atpG
31.30606	31.39351	31.44337	31.3059	31.34884	31.59699	DNA topoisomerase 4 subunit A	parC
31.8838	31.96798	32.00905	32.11938	32.29338	32.33279	Metalloprotease PmbA	pmbA
30.50909	30.71473	30.81031	30.75597	30.85222	30.92493	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	gabD
28.57788	28.97924	28.75063	28.69282	28.75433	28.96416	Bifunctional protein Aas;2-acylglycerophosphoethanolamine acyltransferase;Acyl-[acyl-carrier-protein] synthetase	aas
28.75675	29.151	29.06894	28.84604	28.94551	29.36716	Phosphotransferase RcsD	rcsD
29.32212	29.35744	29.09517	29.27427	29.1207	28.9257	Uncharacterized protease YdcP	ydcP
33.54938	33.63699	33.60764	33.43763	33.59835	33.77961	RNA polymerase sigma factor RpoD	rpoD
32.75494	32.86552	32.88462	33.03736	32.94197	33.16973	Fumarate hydratase class II	fumC
32.30038	32.44283	32.30579	32.31708	32.3764	32.34863	Erythronate-4-phosphate dehydrogenase	pdxB
30.40111	30.48587	30.49581	30.39897	30.31732	30.60514	Transcriptional regulatory protein TyrR	tyrR
32.13152	32.07597	31.6118	31.41951	31.55147	31.22205	D-alanyl-D-alanine carboxypeptidase DacC	dacC
30.79823	30.84707	29.99766	29.64697	30.9529	30.26293	Putative uroporphyrinogen-III C-methyltransferase	hemX
31.05543	30.9057	31.23404	30.86253	31.02901	31.25592	Argininosuccinate synthase	argG
32.07667	32.27011	32.53176	32.36479	32.38744	32.64597	Peptide chain release factor 3	prfC
31.73077	32.02673	31.99277	31.73659	31.87526	31.79699	Queuine tRNA-ribosyltransferase	tgt
29.38729	29.076	29.7875	28.76557	28.78497	28.9511	UvrABC system protein C	uvrC
29.08083	29.48704	29.73662	29.52431	28.87399	29.77469	"Lysine decarboxylase, inducible"	cadA
29.3232	29.70841	29.32337	29.11252	29.40322	29.48133	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	ugpB
33.71569	33.58788	33.79305	33.15134	33.25828	33.32523	Periplasmic serine endoprotease DegP	degP
34.09561	34.22504	34.0724	33.97571	33.87096	34.15625	Pyruvate kinase II	pykA
29.8348	29.8975	29.86015	30.05401	29.93621	30.29088	4-aminobutyrate aminotransferase GabT	gabT
32.52906	32.77986	32.80914	32.74473	32.78577	32.92898	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"	gpmI
27.81403	28.80732	27.51111	28.90618	28.98647	29.09522	Miniconductance mechanosensitive channel MscM	mscM
32.99979	33.07099	33.08511	32.92396	32.98971	33.01779	Histidine--tRNA ligase	hisS
32.13663	32.44419	32.07884	32.35595	32.03532	32.30177	Cytosol aminopeptidase	pepA
27.83822	27.93888	27.45584	27.56703	27.88826	26.97869	Uncharacterized protein YebT	yebT
30.80693	30.44569	30.57407	30.46168	30.24093	30.41206	Uncharacterized protease YegQ	yegQ
28.98163	29.09159	29.21099	29.00857	29.08945	28.6147	Electron transport complex subunit RsxC	rsxC
32.00962	32.00601	32.03846	32.21786	32.12553	31.94241	tRNA sulfurtransferase	thiI
32.3139	31.72704	31.71145	31.69656	31.22211	31.39489	6-phospho-beta-glucosidase BglA	bglA
